Article File,Article Citation,AccessionID,LastUpdated (YYYY-MM-DD HH:MM:SS),PMID,License,Retracted
PMC003xxxxxx/PMC3360697.txt,"PLoS One. 2012 May 25; 7(5):e36974",PMC3360697,"2024-02-11 01:12:54",22662132,"CC BY",no
PMC003xxxxxx/PMC3776938.txt,"Front Psychol. 2013 Sep 19; 4:644",PMC3776938,"2024-02-11 01:12:35",24065945,"CC BY",no
PMC004xxxxxx/PMC4013815.txt,"Neurology. 2014 May 6; 82(18):1643-1652",PMC4013815,"2024-02-11 01:12:54",24719488,"CC BY",no
PMC004xxxxxx/PMC4175815.txt,"J Med Radiat Sci. 2013 Dec 20; 60(4):157-158",PMC4175815,"2024-02-11 01:12:35",26229625,"CC BY",no
PMC004xxxxxx/PMC4175817.txt,"J Med Radiat Sci. 2013 Dec 20; 60(4):160",PMC4175817,"2024-02-11 01:12:35",26229627,"CC BY",no
PMC004xxxxxx/PMC4175820.txt,"J Med Radiat Sci. 2013 Dec 2; 60(4):156",PMC4175820,"2024-02-11 01:12:35",26229624,"CC BY",no
PMC004xxxxxx/PMC4175823.txt,"J Med Radiat Sci. 2013 Dec 3; 60(4):159",PMC4175823,"2024-02-11 01:12:35",26229626,"CC BY",no
PMC004xxxxxx/PMC4461287.txt,"PLoS One. 2015 Jun 9; 10(6):e0127216",PMC4461287,"2024-02-11 01:09:04",26058016,"CC BY",no
PMC005xxxxxx/PMC5081250.txt,"eLife.; 5:e19375",PMC5081250,"2024-02-11 01:12:55",27759563,"CC BY",no
PMC005xxxxxx/PMC5690675.txt,"PLoS One. 2017 Nov 16; 12(11):e0188052",PMC5690675,"2024-02-11 01:12:48",29145503,"CC BY",yes
PMC006xxxxxx/PMC6013440.txt,"Sci Rep. 2018 Jun 21; 8:9447",PMC6013440,"2024-02-11 01:12:47",29930395,"CC BY",yes
PMC006xxxxxx/PMC6197282.txt,"Cell Death Dis. 2018 Oct 22; 9(11):1082",PMC6197282,"2024-02-11 01:12:47",30348980,"CC BY",yes
PMC006xxxxxx/PMC6203438.txt,"eLife.; 7:e36018",PMC6203438,"2024-02-11 01:12:52",30303484,"CC BY",no
PMC006xxxxxx/PMC6304345.txt,"Front Cell Neurosci. 2018 Dec 17; 12:480",PMC6304345,"2024-02-11 01:13:05",30618630,"CC BY",yes
PMC006xxxxxx/PMC6325129.txt,"Cell Death Dis. 2019 Jan 8; 10(1):20",PMC6325129,"2024-02-11 01:12:47",30622236,"CC BY",yes
PMC006xxxxxx/PMC6361447.txt,"PLoS One. 2019 Feb 4; 14(2):e0211644",PMC6361447,"2024-02-11 01:09:03",30716120,"CC BY",no
PMC006xxxxxx/PMC6802613.txt,"Exp Mol Med. 2019 Aug 2; 51(8):1-17",PMC6802613,"2024-02-11 01:13:06",31375658,"CC BY",no
PMC006xxxxxx/PMC6908519.txt,"Front Oncol. 2019 Dec 6; 9:1306",PMC6908519,"2024-02-11 01:12:58",31867269,"CC BY",no
PMC007xxxxxx/PMC7021896.txt,"Sci Rep. 2020 Feb 14; 10:2687",PMC7021896,"2024-02-11 01:12:47",32060308,"CC BY",yes
